year,agency_code,category_code,grade_eoc,avg_size
2019,00A000,,Biology,42
2019,00A000,,English II,44
2019,00A000,,NC Math 1,60
2019,00A000,,NC Math 3,49
2019,00B000,,Biology,33
2019,00B000,,English II,21
2019,00B000,,NC Math 1,38
2019,00B000,,NC Math 3,26
2019,010303,,Biology,11
2019,010303,,English II,20
2019,010303,,NC Math 1,20
2019,010303,,NC Math 3,17
2019,010304,,00,18
2019,010304,,01,18
2019,010304,,02,18
2019,010304,,03,20
2019,010304,,04,23
2019,010304,,05,23
2019,010308,,00,18
2019,010308,,01,18
2019,010308,,02,18
2019,010308,,03,22
2019,010308,,04,27
2019,010308,,05,19
2019,010310,,06,16
2019,010310,,07,13
2019,010310,,08,13
2019,010310,,NC Math 1,21
2019,010312,,00,15
2019,010312,,01,22
2019,010312,,02,18
2019,010312,,03,19
2019,010312,,04,20
2019,010312,,05,22
2019,010320,,00,19
2019,010320,,01,15
2019,010320,,02,20
2019,010320,,03,16
2019,010320,,04,16
2019,010320,,05,13
2019,010324,,Biology,21
2019,010324,,English II,27
2019,010324,,NC Math 1,19
2019,010324,,NC Math 3,24
2019,010326,,00,19
2019,010326,,01,14
2019,010326,,02,16
2019,010326,,03,16
2019,010326,,04,24
2019,010326,,05,29
2019,010328,,00,20
2019,010328,,01,20
2019,010328,,02,17
2019,010328,,03,19
2019,010328,,04,27
2019,010328,,05,27
2019,010340,,00,21
2019,010340,,01,21
2019,010340,,02,18
2019,010340,,03,18
2019,010340,,04,19
2019,010340,,05,24
2019,010346,,00,12
2019,010346,,01,10
2019,010346,,02,20
2019,010346,,03,18
2019,010346,,04,20
2019,010346,,05,22
2019,010347,,00,16
2019,010347,,01,15
2019,010347,,02,20
2019,010347,,03,18
2019,010347,,04,21
2019,010347,,05,22
2019,010348,,Biology,13
2019,010348,,English II,19
2019,010348,,NC Math 1,22
2019,010348,,NC Math 3,22
2019,010350,,06,15
2019,010350,,07,18
2019,010350,,08,21
2019,010350,,NC Math 1,24
2019,010351,,00,17
2019,010351,,01,17
2019,010351,,02,16
2019,010351,,03,17
2019,010351,,04,25
2019,010351,,05,27
2019,010353,,06,18
2019,010353,,07,19
2019,010353,,08,22
2019,010353,,NC Math 1,26
2019,010354,,00,20
2019,010354,,01,18
2019,010354,,02,21
2019,010354,,03,18
2019,010354,,04,21
2019,010354,,05,22
2019,010357,,04,19
2019,010357,,05,14
2019,010358,,00,18
2019,010358,,01,16
2019,010358,,02,17
2019,010358,,03,18
2019,010358,,04,19
2019,010358,,05,22
2019,010360,,Biology,20
2019,010360,,English II,23
2019,010360,,NC Math 1,20
