title1_type_flg,clp_ind_flg,summer_program_flg,student_num,lea_avg_student_num,st_avg_student_num,Grad_project_status,stem_flg,Avg_Class_Size_06,Avg_Class_Size_07,Avg_Class_Size_08,Avg_Class_Size_MathI,Avg_Dist_Size_06,Avg_Dist_Size_07,Avg_Dist_Size_08,Avg_Dist_Size_Biology,lea_total_expense_num,lea_salary_expense_pct,lea_benefits_expense_pct,lea_services_expense_pct,lea_supplies_expense_pct,lea_instruct_equip_exp_pct,lea_federal_perpupil_num,lea_local_perpupil_num,lea_state_perpupil_num,SPG Score,Reading  SPG Score,Math SPG Score,EVAAS Growth Score,Science Score,Math I Score,lea_sat_avg_score_num,lea_sat_participation_pct,lea_ap_participation_pct,lea_ap_pct_3_or_above,lea_ib_pct_4_or_above,avg_daily_attend_pct,crime_per_c_num,short_susp_per_c_num,long_susp_per_c_num,expelled_per_c_num,stud_internet_comp_num,lea_avg_daily_attend_pct,lea_crime_per_c_num,lea_short_susp_per_c_num,lea_long_susp_per_c_num,lea_expelled_per_c_num,lea_stud_internet_comp_num,st_avg_daily_attend_pct,st_crime_per_c_num,digital_media_pct,avg_age_media_collection,books_per_student,lea_books_per_student,wap_num,wap_per_classroom,lea_wap_num,lea_wap_per_classroom,flicensed_teach_pct,tchyrs_0thru3_pct,tchyrs_4thru10_pct,tchyrs_11plus_pct,nbpts_num,advance_dgr_pct,_1yr_tchr_trnovr_pct,lateral_teach_pct,highqual_class_pct,lea_flicensed_teach_pct,lea_tchyrs_0thru3_pct,lea_tchyrs_4thru10_pct,lea_tchyrs_11plus_pct,lea_nbpts_num,lea_advance_dgr_pct,lea_1yr_tchr_trnovr_pct,lea_emer_prov_teach_pct,lea_highqual_class_pct,lea_highqual_class_hp_pct,lea_highqual_class_lp_pct,lea_highqual_class_all_pct,lea_not_highqual_class_hp_pct,lea_not_highqual_class_lp_pct,st_flicensed_teach_pct,st_tchyrs_0thru3_pct,st_tchyrs_4thru10_pct,st_tchyrs_11plus_pct,st_advance_dgr_pct,Dist_Prin_Exp_Pct_0_3_Years,Dist_Prin_Exp_Pct_4_10_Years,Dist_Prin_Exp_Pct_10+_Years,All_EOC_Subjects_CACR,EOG_Gr6_CACR,EOG_Gr7_CACR,EOG_Gr8_CACR,EOG_Science_Grades_5&8_CACR,Indian Male,Asian Male,Hispanic Male,Black Male,White Male,Pacific Island Male,Pacific Island Female,Two or  More Male,Two or  More Female,Pacific Island,White_Pct,Majority_Minority,category_cd_T,calendar_only_txt_Year-Round Calendar,esea_status_Esea_Pass,esea_status_Non_Esea,SPG Grade_A+NG,SPG Grade_B,SPG Grade_C,SPG Grade_D,SPG Grade_F,Reading SPG Grade_B,Reading SPG Grade_C,Reading SPG Grade_D,Reading SPG Grade_F,Math SPG Grade_B,Math SPG Grade_C,Math SPG Grade_D,Math SPG Grade_F,EVAAS Growth Status_Met,EVAAS Growth Status_NotMet,State Gap Compared_Y,Byod_Yes,1_to_1_access_Yes
True,False,False,154.0,309.0,475,False,False,0.0,21.0,12.0,0.0,0.0,20.0,17.0,0.0,11936.48,0.611,0.2,0.087,0.092,0.01,1487.57,2467.21,7981.7,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.29,0.0,0.56,0.0,0.955,1.3,3.25,0.0,0.0,0.7,0.9470000000000001,0.22,7.24,0.0,0.0,0.79,0.9570000000000001,0.24,0.0,1997.0,60.41,42.08,13.0,1.08,111.0,0.93,1.0,0.267,0.2,0.5329999999999999,5.0,0.5329999999999999,0.096,0.0,0.9259999999999999,0.9640000000000001,0.226,0.28600000000000003,0.488,5.0,0.405,0.163,0.012,0.872,0.805,0.0,0.86,0.195,0.0,0.895,0.255,0.254,0.491,0.262,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,62.0,0.0,0.0,2.0,1.0,0.0,0.89375,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
True,False,False,537.0,309.0,475,False,False,18.0,15.0,21.0,0.0,21.0,20.0,17.0,0.0,11936.48,0.611,0.2,0.087,0.092,0.01,1487.57,2467.21,7981.7,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.29,0.0,0.56,0.0,0.948,0.0,10.43,0.0,0.0,0.96,0.9470000000000001,0.22,7.24,0.0,0.0,0.79,0.9570000000000001,0.24,0.01,2001.0,38.74,42.08,34.0,0.77,111.0,0.93,0.9570000000000001,0.191,0.319,0.489,7.0,0.36200000000000004,0.16699999999999998,0.021,0.805,0.9640000000000001,0.226,0.28600000000000003,0.488,5.0,0.405,0.163,0.012,0.872,0.805,0.0,0.86,0.195,0.0,0.895,0.255,0.254,0.491,0.262,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,58.0,3.0,191.0,0.0,0.0,8.0,9.0,0.0,0.680688337,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
False,False,True,554.0,339.0,634,False,False,0.0,21.0,20.0,21.0,0.0,21.0,20.0,17.0,10476.36,0.574,0.18899999999999997,0.095,0.114,0.027999999999999997,1519.41,1497.22,7459.73,0.0,0.0,0.0,0.0,0.0,0.0,815.0,0.54,0.0,0.06,0.0,0.9309999999999999,1.62,52.71,2.17,0.0,0.73,0.94,1.33,75.18,1.77,0.0,0.8,0.951,0.83,0.01,2000.0,21.87,29.07,47.0,1.12,390.0,1.45,0.693,0.375,0.21899999999999997,0.406,2.0,0.188,0.1,0.27699999999999997,1.0,0.7509999999999999,0.308,0.231,0.462,2.0,0.205,0.077,0.025,1.0,1.0,0.909,0.991,0.0,0.091,0.9229999999999999,0.244,0.251,0.506,0.268,0.545,0.182,0.273,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,132.0,89.0,0.0,0.0,8.0,4.0,0.0,0.325910931,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,True,123.0,339.0,634,False,False,18.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10476.36,0.574,0.18899999999999997,0.095,0.114,0.027999999999999997,1519.41,1497.22,7459.73,0.0,0.0,0.0,0.0,0.0,0.0,815.0,0.54,0.0,0.06,0.0,0.927,0.0,176.42,0.0,0.0,0.28,0.94,1.33,75.18,1.77,0.0,0.8,0.951,0.83,0.0,1996.0,89.48,29.07,25.0,1.79,390.0,1.45,1.0,0.0,0.28600000000000003,0.7140000000000001,2.0,0.28600000000000003,0.0,0.0,1.0,0.7509999999999999,0.308,0.231,0.462,2.0,0.205,0.077,0.025,1.0,1.0,0.909,0.991,0.0,0.091,0.9229999999999999,0.244,0.251,0.506,0.268,0.545,0.182,0.273,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,55.0,20.0,0.0,0.0,2.0,2.0,0.0,0.202531646,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,491.0,491.0,634,False,False,0.0,18.0,17.0,0.0,0.0,18.0,17.0,0.0,10138.41,0.607,0.214,0.062,0.102,0.015,1206.35,1900.54,7031.52,0.0,0.0,0.0,0.0,0.0,0.0,993.0,0.46,0.11,0.71,0.0,0.951,0.2,14.87,0.2,0.0,0.8,0.9540000000000001,0.2,14.87,0.2,0.0,0.95,0.951,0.83,0.01,2002.0,17.67,0.0,51.0,1.42,253.0,1.1,1.0,0.10300000000000001,0.308,0.59,6.0,0.41,0.08,0.0,1.0,1.0,0.10300000000000001,0.308,0.59,6.0,0.41,0.079,0.0,1.0,1.0,0.0,0.998,0.0,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,206.0,0.0,0.0,4.0,4.0,0.0,0.8596112309999999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,True,191.0,240.0,634,False,False,19.0,22.0,15.0,18.0,19.0,23.0,17.0,18.0,11540.04,0.615,0.21600000000000003,0.078,0.08900000000000001,0.002,1253.12,2810.52,7476.4,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.13,0.11,0.26,0.0,0.953,0.0,0.0,0.0,0.0,0.89,0.9570000000000001,0.0,1.88,0.0,0.0,0.84,0.951,0.83,0.02,1999.0,39.65,0.0,13.0,0.81,217.0,1.23,1.0,0.375,0.125,0.5,1.0,0.25,0.063,0.0,1.0,1.0,0.256,0.256,0.48700000000000004,1.0,0.256,0.075,0.0,0.9840000000000001,0.996,0.0,0.987,0.004,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.111,0.778,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,95.0,1.0,1.0,5.0,0.0,2.0,0.918478261,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
True,False,True,288.0,240.0,634,False,False,19.0,23.0,18.0,28.0,19.0,23.0,17.0,18.0,11540.04,0.615,0.21600000000000003,0.078,0.08900000000000001,0.002,1253.12,2810.52,7476.4,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.13,0.11,0.26,0.0,0.9620000000000001,0.0,3.12,0.0,0.0,0.9,0.9570000000000001,0.0,1.88,0.0,0.0,0.84,0.951,0.83,0.01,1998.0,21.07,0.0,24.0,1.09,217.0,1.23,1.0,0.174,0.348,0.478,1.0,0.261,0.085,0.0,0.9740000000000001,1.0,0.256,0.256,0.48700000000000004,1.0,0.256,0.075,0.0,0.9840000000000001,0.996,0.0,0.987,0.004,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.111,0.778,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,110.0,0.0,0.0,1.0,1.0,0.0,0.7965517240000001,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
True,False,False,576.0,410.0,475,False,False,20.0,22.0,23.0,24.0,18.0,18.0,20.0,17.0,9559.1,0.601,0.203,0.09,0.09,0.016,1104.29,2425.54,6029.27,0.0,0.0,0.0,0.0,0.0,0.0,943.0,0.31,0.07,0.35,0.0,0.955,0.17,4.17,0.0,0.0,1.5,0.955,0.32,9.34,0.0,0.0,1.24,0.9570000000000001,0.24,0.0,1995.0,22.32,0.0,52.0,1.24,661.0,1.23,1.0,0.075,0.1,0.825,9.0,0.436,0.075,0.0,1.0,0.9670000000000001,0.13,0.163,0.7070000000000001,8.0,0.322,0.10300000000000001,0.0,0.966,0.9740000000000001,1.0,0.971,0.026000000000000002,0.0,0.895,0.255,0.254,0.491,0.262,0.35700000000000004,0.5710000000000001,0.071,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,7.0,238.0,0.0,0.0,13.0,8.0,0.0,0.857632933,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,False,False,406.0,608.0,634,False,False,19.0,21.0,25.0,23.0,18.0,18.0,20.0,17.0,9559.1,0.601,0.203,0.09,0.09,0.016,1104.29,2425.54,6029.27,0.0,0.0,0.0,0.0,0.0,0.0,943.0,0.31,0.07,0.35,0.0,0.948,0.49,36.21,0.99,0.0,1.19,0.9470000000000001,0.82,32.1,0.33,0.0,1.24,0.951,0.83,0.01,1992.0,25.02,0.0,41.0,1.46,661.0,1.23,0.8909999999999999,0.25,0.179,0.5710000000000001,1.0,0.28600000000000003,0.237,0.109,0.9570000000000001,0.9259999999999999,0.37799999999999995,0.183,0.439,2.0,0.256,0.287,0.0,0.9640000000000001,0.9740000000000001,1.0,0.971,0.026000000000000002,0.0,0.9229999999999999,0.244,0.251,0.506,0.268,0.35700000000000004,0.5710000000000001,0.071,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31.0,51.0,107.0,0.0,0.0,12.0,9.0,0.0,0.518134715,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,False,False,491.0,410.0,475,False,False,16.0,15.0,18.0,17.0,18.0,18.0,20.0,17.0,9559.1,0.601,0.203,0.09,0.09,0.016,1104.29,2425.54,6029.27,0.0,0.0,0.0,0.0,0.0,0.0,943.0,0.31,0.07,0.35,0.0,0.943,0.61,13.03,0.0,0.0,1.39,0.955,0.32,9.34,0.0,0.0,1.24,0.9570000000000001,0.24,0.0,1997.0,36.22,0.0,69.0,1.25,661.0,1.23,1.0,0.111,0.19399999999999998,0.6940000000000001,6.0,0.28600000000000003,0.098,0.0,0.971,0.9670000000000001,0.13,0.163,0.7070000000000001,8.0,0.322,0.10300000000000001,0.0,0.966,0.9740000000000001,1.0,0.971,0.026000000000000002,0.0,0.895,0.255,0.254,0.491,0.262,0.35700000000000004,0.5710000000000001,0.071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,59.0,125.0,0.0,0.0,12.0,9.0,0.0,0.5209713020000001,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
