agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
010304,15.0,,,3.0,4.0,3.0,5.0,12.0,2.0,,0.0,5.0,1.0,,,0.2,1.0,0.2,0.333,0.8,0.133,,0.0,0.333
010320,10.0,,,2.0,1.0,4.0,2.0,6.0,,,1.0,6.0,1.0,,,0.2,1.0,0.4,0.2,0.6,,,0.1,0.6
010326,30.0,,,10.0,0.0,16.0,15.0,14.0,2.0,,0.0,3.0,1.0,,,0.333,1.0,0.5329999999999999,0.5,0.467,0.067,,0.0,0.1
010340,11.0,,,1.0,0.0,4.0,3.0,7.0,,,0.0,7.0,1.0,,,0.091,1.0,0.364,0.273,0.636,,,0.0,0.636
010347,9.0,,,,0.0,4.0,5.0,5.0,,,0.0,4.0,1.0,,,,1.0,0.444,0.556,0.556,,,0.0,0.444
010351,15.0,,,9.0,2.0,7.0,2.0,8.0,1.0,,0.0,3.0,1.0,,,0.6,1.0,0.467,0.133,0.5329999999999999,0.067,,0.0,0.2
010354,30.0,,,7.0,17.0,15.0,19.0,15.0,,,1.0,4.0,1.0,,,0.233,1.0,0.5,0.633,0.5,,,0.033,0.133
010357,75.0,,,24.0,21.0,34.0,39.0,41.0,3.0,,3.0,9.0,1.0,,,0.32,1.0,0.453,0.52,0.547,0.04,,0.04,0.12
010358,15.0,,,4.0,4.0,8.0,8.0,7.0,,1.0,1.0,2.0,1.0,,,0.267,1.0,0.5329999999999999,0.5329999999999999,0.467,,0.067,0.067,0.133
010362,15.0,,1.0,1.0,0.0,7.0,7.0,8.0,,,0.0,6.0,1.0,,0.067,0.067,1.0,0.467,0.467,0.5329999999999999,,,0.0,0.4
010364,8.0,,,1.0,3.0,4.0,4.0,4.0,2.0,,1.0,1.0,1.0,,,0.125,1.0,0.5,0.5,0.5,0.25,,0.125,0.125
010372,15.0,,,4.0,0.0,10.0,3.0,5.0,,1.0,0.0,7.0,1.0,,,0.267,1.0,0.667,0.2,0.333,,0.067,0.0,0.467
010374,14.0,,,5.0,8.0,6.0,8.0,8.0,,,1.0,1.0,1.0,,,0.35700000000000004,1.0,0.429,0.5710000000000001,0.5710000000000001,,,0.071,0.071
010380,49.0,1.0,,11.0,15.0,14.0,16.0,35.0,2.0,1.0,3.0,18.0,1.0,0.02,,0.224,1.0,0.28600000000000003,0.327,0.7140000000000001,0.041,0.02,0.061,0.3670000000000001
010392,15.0,,,,2.0,6.0,1.0,9.0,,,0.0,14.0,1.0,,,,1.0,0.4,0.067,0.6,,,0.0,0.933
010LEA,326.0,1.0,1.0,82.0,77.0,142.0,137.0,184.0,12.0,3.0,11.0,90.0,1.0,0.003,0.003,0.252,1.0,0.436,0.42,0.564,0.037000000000000005,0.009000000000000001,0.034,0.276
020304,9.0,,,,0.0,4.0,1.0,5.0,1.0,,0.0,7.0,1.0,,,,1.0,0.444,0.111,0.556,0.111,,0.0,0.778
020316,18.0,,,2.0,0.0,12.0,3.0,6.0,,,0.0,13.0,1.0,,,0.111,1.0,0.667,0.16699999999999998,0.333,,,0.0,0.722
020320,15.0,,,,0.0,6.0,5.0,9.0,3.0,,0.0,7.0,1.0,,,,1.0,0.4,0.333,0.6,0.2,,0.0,0.467
020328,15.0,,,2.0,0.0,6.0,5.0,9.0,,,0.0,8.0,1.0,,,0.133,1.0,0.4,0.333,0.6,,,0.0,0.5329999999999999
020332,11.0,,,,0.0,6.0,2.0,5.0,1.0,,0.0,8.0,1.0,,,,1.0,0.545,0.182,0.455,0.091,,0.0,0.727
020LEA,68.0,,,4.0,0.0,34.0,16.0,34.0,5.0,,0.0,43.0,1.0,,,0.059,1.0,0.5,0.235,0.5,0.07400000000000001,,0.0,0.632
030308,18.0,,,,0.0,8.0,7.0,10.0,,,0.0,11.0,1.0,,,,1.0,0.444,0.389,0.556,,,0.0,0.611
030316,12.0,,,,0.0,7.0,1.0,5.0,,,0.0,11.0,1.0,,,,1.0,0.583,0.083,0.417,,,0.0,0.917
030320,43.0,,,,0.0,20.0,16.0,23.0,2.0,,0.0,25.0,1.0,,,,1.0,0.465,0.3720000000000001,0.535,0.047,,0.0,0.581
030LEA,73.0,,,,0.0,35.0,24.0,38.0,2.0,,0.0,47.0,1.0,,,,1.0,0.479,0.329,0.521,0.027000000000000003,,0.0,0.644
050330,65.0,1.0,,,4.0,34.0,8.0,31.0,1.0,,0.0,55.0,1.0,0.015,,,1.0,0.523,0.123,0.477,0.015,,0.0,0.846
050LEA,65.0,1.0,,,4.0,34.0,8.0,31.0,1.0,,0.0,55.0,1.0,0.015,,,1.0,0.523,0.123,0.477,0.015,,0.0,0.846
060304,15.0,,,,3.0,5.0,4.0,10.0,,,0.0,11.0,1.0,,,,1.0,0.333,0.267,0.667,,,0.0,0.733
060316,17.0,,,,1.0,16.0,1.0,1.0,,,0.0,16.0,1.0,,,,1.0,0.941,0.059,0.059,,,0.0,0.941
060322,15.0,,,,1.0,7.0,,8.0,,,0.0,15.0,1.0,,,,1.0,0.467,,0.5329999999999999,,,0.0,1.0
060328,31.0,,,,8.0,16.0,8.0,15.0,,,2.0,23.0,1.0,,,,1.0,0.516,0.258,0.484,,,0.065,0.742
060332,15.0,,,,0.0,9.0,,6.0,,,0.0,15.0,1.0,,,,1.0,0.6,,0.4,,,0.0,1.0
060LEA,93.0,,,,13.0,53.0,13.0,40.0,,,2.0,80.0,1.0,,,,1.0,0.57,0.14,0.43,,,0.022,0.86
070302,88.0,,1.0,39.0,0.0,41.0,20.0,47.0,5.0,,0.0,23.0,1.0,,0.011,0.443,1.0,0.466,0.227,0.534,0.057,,0.0,0.261
070326,33.0,,,7.0,0.0,19.0,6.0,14.0,4.0,,0.0,16.0,1.0,,,0.212,1.0,0.5760000000000001,0.182,0.424,0.121,,0.0,0.485
070329,29.0,,,5.0,0.0,13.0,6.0,16.0,1.0,1.0,0.0,16.0,1.0,,,0.172,1.0,0.448,0.207,0.552,0.034,0.034,0.0,0.552
070340,18.0,,,10.0,0.0,10.0,,8.0,5.0,,0.0,3.0,1.0,,,0.556,1.0,0.556,,0.444,0.278,,0.0,0.16699999999999998
070LEA,168.0,,1.0,61.0,0.0,83.0,32.0,85.0,15.0,1.0,0.0,58.0,1.0,,0.006,0.363,1.0,0.494,0.19,0.506,0.08900000000000001,0.006,0.0,0.345
080348,15.0,,,11.0,0.0,9.0,,6.0,,,0.0,4.0,1.0,,,0.733,1.0,0.6,,0.4,,,0.0,0.267
080356,18.0,,,15.0,0.0,7.0,2.0,11.0,,,0.0,1.0,1.0,,,0.833,1.0,0.389,0.111,0.611,,,0.0,0.056
