agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
990308,17.0,,,,0.0,9.0,7.0,8.0,,,0.0,10.0
990312,17.0,,1.0,,0.0,7.0,3.0,10.0,,,0.0,13.0
990316,15.0,,,,0.0,8.0,,7.0,,,0.0,15.0
990320,20.0,,,,0.0,12.0,1.0,8.0,,,0.0,19.0
990324,25.0,,,2.0,0.0,10.0,3.0,15.0,1.0,1.0,0.0,18.0
990328,48.0,,,,0.0,23.0,18.0,25.0,,,0.0,30.0
990336,51.0,,,1.0,0.0,20.0,22.0,31.0,,,0.0,28.0
990LEA,212.0,,1.0,3.0,0.0,94.0,56.0,118.0,2.0,1.0,0.0,149.0
995304,2.0,,,,0.0,1.0,,1.0,,,0.0,2.0
995312,2.0,,,,0.0,1.0,,1.0,,,0.0,2.0
995330,9.0,,,,0.0,5.0,,4.0,,,0.0,9.0
995LEA,13.0,,,,0.0,7.0,,6.0,,,0.0,13.0
NC-SEA,21428.0,392.0,770.0,6384.0,1322.0,9825.0,5591.0,11603.0,878.0,39.0,249.0,7377.0
