agency_code,pct_spc_crs,pct_ap_ib_crs,pct_cte_crs,pct_univ_coll_crs
360378,1.0,0.17184466019000005,0.6776699029100001,
360390,0.98577680525,0.13894967177,0.6466083150999999,0.033916849015
360394,1.0,,,
360396,0.7512908778,0.26247848537,0.60499139415,
360418,1.0,0.26714801444,1.0,0.045126353791
360428,1.0,0.098057354302,0.7918593894499999,0.020351526364
360470,0.9751552795,0.079858030169,0.64685004437,0.02661934339
360494,1.0,0.28200192493,0.63041385948,0.010587102984
360LEA,0.99541751527,0.16527494908,0.68197556008,0.028716904277
36B000,1.0,0.178125,0.1,0.08125
36C000,0.98286937901,0.25267665953,0.042826552463,0.017130620985
370312,0.75393700787,0.021653543307,0.7401574803100001,
370LEA,0.75393700787,0.021653543307,0.7401574803100001,
380308,1.0,0.079019073569,0.78474114441,
380LEA,1.0,0.079019073569,0.78474114441,
390314,1.0,0.5,1.0,
390322,0.98748043818,0.10172143975,0.7902973395899999,0.06259780907700001
390323,1.0,,0.46889952153,0.995215311
390324,1.0,0.13232514178,1.0,0.090737240076
390352,1.0,0.19538834951,0.72330097087,0.016990291262
390700,1.0,0.36296296296,0.24444444444,0.08888888888900001
390LEA,1.0,0.16136820925999998,0.7722334004000001,0.13440643863
39A000,0.98529411765,0.014705882353,0.066176470588,
39B000,1.0,0.4823008849600001,0.0044247787611,0.11061946903
400308,1.0,0.082070707071,0.8143939393899999,0.19318181818
400315,1.0,,0.10975609756,0.98780487805
400LEA,1.0,0.067991631799,0.69351464435,0.32949790795
410319,1.0,0.10373944511,0.8178528347399999,0.044632086852
410326,1.0,,0.54545454545,0.6262626262600001
410355,1.0,0.16097922849,0.6965875370899999,0.034866468843
410358,0.99831223629,0.11223628692,0.70548523207,0.0067510548523
410379,1.0,,,
410390,1.0,0.55555555556,0.20512820513,0.98290598291
410391,0.98692810458,0.5163398692800001,0.17647058824,
410394,0.9987707437,0.4087277197300001,0.33866011063,0.0012292562999000002
410395,1.0,0.52525252525,0.22727272727,0.47474747475
410398,1.0,,,0.040697674419
410399,1.0,,0.049180327869,0.64754098361
410401,1.0,,0.30808080808000005,0.63636363636
410406,1.0,0.23487544484,0.56583629893,0.0035587188612
410407,1.0,0.092307692308,0.8076923076899999,0.19230769231
410408,1.0,,0.4140625,0.9375
410458,1.0,,1.0,
410464,1.0,,,
410483,1.0,,0.8442622950800001,0.23770491803
410484,1.0,0.10318225651,0.78881388621,0.0019286403086
410489,1.0,0.3863471314500001,0.4509803921600001,0.00290486565
410490,0.9937439846,0.40904716073,0.37728585178,0.007218479307
410508,0.99594114663,0.38203957382,0.43226788432,0.0035514967022
410529,0.98925453324,0.21289456011,0.69845533915,0.0067159167226
410533,1.0,,1.0,0.038461538462
410534,1.0,,0.6875,0.625
410544,1.0,0.15569823435,0.5963081861999999,0.0024077046549
410545,1.0,0.3431372549,0.92647058824,0.10784313725
410547,0.99009146341,0.20579268293,0.7157012195100001,0.0091463414634
410556,1.0,0.23827751196,0.7808612440199999,0.0066985645933
410562,1.0,0.30837563452,0.67385786802,0.032994923858
410569,0.99441340782,0.25698324022,0.6759776536300001,0.5195530726300001
410579,1.0,0.28426395939,0.36040609137,1.0
410589,1.0,0.66147859922,1.0,
410595,1.0,0.31403647898000003,0.40761300555,0.0031720856463000003
410LEA,1.0,0.26611897286,0.57950879608,0.05144307282
41D000,0.97674418605,,,
41F000,0.55311355311,0.31135531136,0.35164835165,0.087912087912
41G000,0.98013245033,0.18543046358,,
41K000,0.99557522124,0.23451327434,,0.053097345133
420324,0.25,,,
420346,1.0,,0.7746478873199999,
420358,1.0,0.0068027210884,0.85714285714,0.02380952381
420LEA,1.0,0.0027624309392,0.80386740331,0.0096685082873
421316,1.0,0.08881922675000001,0.77951933124,0.08986415883
421LEA,1.0,0.08881922675000001,0.77951933124,0.08986415883
422310,0.99350649351,0.12987012987,0.79220779221,0.93506493506
422315,0.8989361702099999,,0.8989361702099999,
422LEA,0.94152046784,0.058479532164,0.8508771929800001,0.42105263158
430345,1.0,,0.8936170212799999,
430346,1.0,0.12765957447,0.7776252573800001,0.16952642415999994
430371,1.0,0.1133371494,0.7664567830600001,0.080137378363
430378,1.0,0.11263318113,0.80136986301,0.14383561644
430384,1.0,0.076393668273,0.78527185134,0.096352374398
430LEA,1.0,0.10684612828,0.7823197075399999,0.11897640412
440326,1.0,,0.95238095238,0.19047619048
440346,1.0,,0.13636363636,1.0
440378,1.0,0.11111111111,0.88080808081,0.043434343434
440390,1.0,0.1021194605,0.82273603083,0.081888246628
440LEA,1.0,0.093546990039,0.80121264617,0.14118666089
450316,0.99226519337,0.13591160220999998,0.7049723756899999,0.036464088398
450334,0.98044328553,0.23076923077,0.69361147327,0.039113428944
450341,0.96164908917,0.1907957814,0.68935762224,0.00095877277085
450343,1.0,,1.0,0.43243243243
450352,1.0,0.15985130112,0.75092936803,0.17007434944000002
450354,1.0,,0.27179487179,1.0
450LEA,1.0,0.16231253024,0.70512820513,0.1228834059
460320,1.0,,0.83174603175,0.16507936507999998
460322,1.0,,0.7285714285699999,1.0
460340,1.0,,1.0,0.20895522388
460LEA,1.0,,0.8291517323800001,0.3082437276
470312,1.0,0.14065708419,0.7012320328499999,0.070841889117
470342,1.0,0.018518518519,0.6851851851899999,
470443,1.0,,0.12328767123,0.6739726027399999
470LEA,1.0,0.1161808196,0.61174482467,0.16223067174
480316,1.0,0.17857142857,0.55357142857,0.53571428571
480318,1.0,,0.6810344827600001,0.56896551724
480LEA,1.0,0.05813953488400001,0.63953488372,0.55813953488
490310,1.0,0.06329113924100001,1.0,0.72151898734
490320,1.0,,0.43378995434,1.0
490335,1.0,0.35065645514,0.67560175055,0.12417943107
490342,1.0,0.0096153846154,1.0,0.0096153846154
490346,1.0,0.11282984531,0.7525022748000001,0.090991810737
490350,1.0,,1.0,
490354,0.98608137045,0.15952890792000002,0.67773019272,0.12526766595
490355,1.0,,0.38867924528,0.78867924528
490362,1.0,0.38307210031,0.5686520376199999,0.15297805642999998
490380,1.0,0.13942857142999998,0.7177142857100001,0.090285714286
490LEA,1.0,0.23557075673,0.69559640872,0.17856633889
491312,1.0,0.24568034557,0.70950323974,0.060475161987
491LEA,1.0,0.24568034557,0.70950323974,0.060475161987
49E000,0.9933993399299998,0.46204620462,0.21947194719,0.003300330033
49F000,0.97709923664,0.0076335877863000015,0.58778625954,
500302,1.0,,0.63909774436,0.36842105263
500323,1.0,,0.390625,1.0
500324,1.0,,0.82608695652,0.072463768116
500340,1.0,0.05909617613,0.6975666280399999,0.099652375435
500LEA,1.0,0.042749371333,0.6655490360399999,0.22715842414
510324,1.0,0.080296479308,0.77702285361,0.066707844348
510325,0.77586206897,,0.6724137931,
510327,0.77901234568,0.094444444444,0.72222222222,
510333,0.8154457694499999,0.086314593981,0.7478705281100001,
510368,0.8111801242199999,0.006211180124199999,0.80745341615,
510376,1.0,0.021359223301,0.8601941747600002,
510380,1.0,,0.44,0.04
510399,1.0,0.098795180723,0.5550200803199999,
510402,1.0,0.020627062706,0.73927392739,0.009900990099
510406,0.96504005827,0.11070648215999998,0.7254187909700001,0.0007283321194500001
510LEA,0.88524744994,0.070929353986,0.7057045712100001,0.011522478277
51A000,1.0,0.25108225108000004,0.36796536797,0.051948051948
520320,1.0,,0.84375,0.34375
520LEA,1.0,,0.84375,0.34375
530306,1.0,,0.83333333333,
530316,0.97058823529,,,
530335,1.0,,0.19924812030000005,0.76691729323
530336,1.0,0.16071428571,0.7996031746,0.13492063492
530343,1.0,0.12058023572,0.7733454215800001,0.15865820490000002
530LEA,1.0,0.12741443578,0.7268722467000001,0.1975601491
540315,1.0,0.040789473684,0.80789473684,0.075
540317,1.0,,0.1862745098,0.83823529412
540318,1.0,,0.081081081081,
540324,0.99294947121,0.074030552291,0.8025851938899999,0.14688601645
