agency_code,pct_met_4 Year Graduation Rate_LTG,pct_met_EL Progress_LTG,pct_met_Math Grade 11_LTG,pct_met_Math Grades 3-8_LTG,pct_met_Reading Grade 10_LTG,pct_met_Reading Grades 3-8_LTG,pct_met_Total Targets_LTG
130309,,100.0,,20.0,,40.0,36.4
130310,20.0,100.0,33.3,,50.0,,38.9
130311,,100.0,,80.0,,20.0,54.5
130312,,,,0.0,,0.0,0.0
130313,,100.0,,50.0,,75.0,64.7
130314,66.7,100.0,40.0,,0.0,,38.9
130315,,,,0.0,,0.0,0.0
130316,16.7,100.0,20.0,,16.7,,22.2
130318,,100.0,,75.0,,50.0,64.7
130319,,,,28.6,,0.0,14.3
130320,,,,25.0,,50.0,37.5
130321,,100.0,,42.9,,57.1,53.3
130322,,,,25.0,,0.0,12.5
130323,,,,60.0,,40.0,50.0
130324,100.0,,33.3,,0.0,,44.4
130325,,,,0.0,,50.0,25.0
130326,0.0,,20.0,,0.0,,6.7
130327,,,,57.1,,71.4,64.3
130328,,,,33.3,,33.3,33.3
130329,,100.0,,16.7,,33.3,30.8
130330,,,,66.7,,33.3,50.0
130331,,,,0.0,,0.0,0.0
130332,75.0,,0.0,,25.0,,30.8
130333,0.0,,,,,,0.0
130338,,100.0,,71.4,,14.3,46.7
130340,,100.0,,28.6,,14.3,26.7
130342,,100.0,,0.0,,0.0,6.7
130344,,100.0,,0.0,,0.0,6.7
130345,,,,33.3,,0.0,16.7
130346,,,,100.0,,75.0,87.5
130350,100.0,,100.0,,0.0,,75.0
130355,,100.0,,87.5,,87.5,88.2
132304,83.3,100.0,0.0,,0.0,,31.6
132308,,100.0,,20.0,,0.0,18.2
132312,,100.0,,100.0,,60.0,81.8
132328,,100.0,,80.0,,40.0,63.6
132330,,100.0,,25.0,,75.0,52.9
132332,,100.0,,16.7,,83.3,53.8
132336,,0.0,,75.0,,25.0,44.4
13A000,,,100.0,16.7,100.0,16.7,28.6
13B000,,,,0.0,,16.7,8.3
13C000,,,,33.3,,66.7,50.0
140304,,,,0.0,,0.0,0.0
140305,100.0,,50.0,,0.0,,50.0
140308,,,,0.0,,100.0,50.0
140309,100.0,,0.0,,0.0,,33.3
140312,,100.0,,80.0,,80.0,81.8
140316,,,,0.0,,0.0,0.0
140324,,,,0.0,,0.0,0.0
140332,,,,71.4,,71.4,71.4
140336,,,,75.0,,75.0,75.0
140340,,,,25.0,,0.0,12.5
140344,,,,0.0,,0.0,0.0
140348,0.0,,100.0,,33.3,,44.4
140352,,,,40.0,,40.0,40.0
140356,,,,60.0,,40.0,50.0
140360,,,,100.0,,100.0,100.0
140368,,,,28.6,,57.1,42.9
140372,,,,66.7,,0.0,33.3
140376,,,,33.3,,0.0,16.7
140384,,,,66.7,,0.0,33.3
140386,0.0,,75.0,,75.0,,50.0
140388,,,,0.0,,0.0,0.0
140390,0.0,,0.0,,0.0,,0.0
140392,,,,33.3,,0.0,16.7
140396,,,,25.0,,50.0,37.5
150304,0.0,,0.0,,0.0,,0.0
150308,,,,33.3,,33.3,33.3
150310,,,,0.0,,0.0,0.0
150312,,,,100.0,,60.0,80.0
160304,,,,0.0,,0.0,0.0
160306,,,,50.0,,50.0,50.0
160308,,,,20.0,,20.0,20.0
160310,,,,40.0,,80.0,60.0
160311,,,,40.0,,100.0,70.0
160313,0.0,,66.7,,0.0,,22.2
160314,0.0,,66.7,,0.0,,22.2
160316,,,,50.0,,0.0,25.0
160317,,,,100.0,,100.0,100.0
160318,,,,66.7,,66.7,66.7
160322,,100.0,,0.0,,0.0,14.3
160324,,,,20.0,,0.0,10.0
160326,,,,83.3,,50.0,66.7
160332,,,,100.0,,100.0,100.0
160344,33.3,,50.0,,40.0,,41.7
160352,,,,75.0,,0.0,37.5
16B000,,,,0.0,,0.0,0.0
170316,100.0,,0.0,,25.0,,41.7
170334,,,,25.0,,0.0,12.5
170338,,,,16.7,,83.3,50.0
170339,,,,75.0,,100.0,87.5
170342,,,,0.0,,0.0,0.0
170344,,,,0.0,,0.0,0.0
180302,,100.0,,87.5,,75.0,82.4
180304,,,,0.0,,20.0,10.0
180308,0.0,,0.0,,33.3,,11.1
180312,,,,0.0,,33.3,16.7
180316,,100.0,,28.6,,57.1,46.7
180320,0.0,100.0,0.0,,75.0,,30.8
180324,,,,40.0,,80.0,60.0
180325,100.0,,33.3,,100.0,,77.8
180326,,100.0,,0.0,,0.0,9.1
180332,,100.0,,25.0,,100.0,66.7
180336,,,,40.0,,60.0,50.0
180340,100.0,,33.3,,33.3,,55.6
180342,,,,100.0,,100.0,100.0
180343,,100.0,,100.0,,16.7,61.5
180344,,,,40.0,,80.0,60.0
180346,,,,100.0,,100.0,100.0
180348,100.0,,0.0,,0.0,,33.3
180352,,,,0.0,,0.0,0.0
180356,,,,100.0,,75.0,87.5
180360,,100.0,,50.0,,33.3,46.2
180364,,,,83.3,,83.3,83.3
180368,,,,0.0,,50.0,25.0
180372,,100.0,,85.7,,57.1,73.3
180376,100.0,100.0,25.0,,50.0,,61.5
180379,,100.0,,40.0,,60.0,54.5
180380,,,,100.0,,100.0,100.0
180388,,100.0,,0.0,,16.7,15.4
181312,,0.0,,0.0,,75.0,35.3
181316,,,,85.7,,85.7,85.7
181318,100.0,,0.0,,,,50.0
181322,80.0,0.0,60.0,,40.0,,56.3
181326,,,,20.0,,60.0,40.0
181332,,100.0,,66.7,,16.7,46.2
181336,,100.0,,100.0,,60.0,81.8
181342,,100.0,,,,,100.0
