agency_code,pct_ap_pass,pct_ap_participation
00A000,0.5,
00B000,0.45,
010324,0.38,0.14
010348,0.1,0.15
010360,0.16,0.08
010388,0.37,0.15
010396,0.3,0.15
010400,0.65,0.19
010LEA,0.41,0.14
01B000,0.35,0.16
01C000,0.5,
01D000,0.66,0.29
020302,0.48,0.13
020303,0.33,
020LEA,0.48,0.12
030304,0.5,
030LEA,0.5,
040306,0.33,
040LEA,0.33,
050302,0.54,0.11
050LEA,0.54,0.11
060302,0.54,0.14
060LEA,0.54,0.09
070330,0.31,0.06
070339,0.14,0.07
070342,0.34,0.1
070LEA,0.3,0.07
080312,0.5,
080LEA,0.5,
090330,0.75,
090368,0.16,0.09
090LEA,0.18,
100326,0.33,0.06
100334,0.69,0.15
100348,0.35,0.11
100LEA,0.47,0.1
110304,0.63,0.2
110336,0.45,0.16
110340,0.29,0.1
110352,0.43,0.15
110380,0.54,0.2
110416,0.48,0.23
110500,0.39,0.1
110LEA,0.49,0.16
111302,0.69,0.25
111700,0.46,0.45
111LEA,0.62,0.31
11D000,0.58,0.11
120314,0.43,0.12
120318,0.59,0.15
120346,0.3,0.07
120370,0.39,0.22
120LEA,0.46,0.14
130307,0.46,0.28
130310,0.58,0.17
130314,0.45,0.13
130316,0.62,0.18
130324,0.54,0.11
130326,0.48,0.15
130332,0.64,0.23
130LEA,0.54,0.18
132304,0.3,0.1
132LEA,0.3,0.1
13A000,0.21,0.11
140348,0.44,0.08
140386,0.41,0.14
140390,0.36,0.06
140LEA,0.4,0.08
150304,0.62,0.08
150LEA,0.62,
160313,0.78,0.06
160314,0.75,0.17
160344,0.85,0.1
160LEA,0.79,0.11
170316,0.27,0.11
170LEA,0.27,0.11
180308,0.35,0.15
180320,0.46,0.09
180340,0.45,0.14
180348,0.35,0.16
180376,0.47,0.15
180LEA,0.42,0.13
181322,0.54,0.17
181LEA,0.54,0.15
182316,0.43,0.12
182700,0.39,0.42
182LEA,0.41,0.18
190316,0.3,0.11
190336,0.35,0.2
190342,0.55,0.2
190LEA,0.46,0.18
19B000,0.73,0.55
200308,0.5,
200328,0.26,0.07
200LEA,0.26,
210312,0.28,0.1
210LEA,0.28,0.1
220310,0.29,
220LEA,0.29,
230312,0.37,0.13
230324,0.43,0.19
230350,0.45,0.16
230361,0.42,0.2
230LEA,0.42,0.16
23A000,0.24,0.26
240334,0.2,0.09
240371,0.36,
240380,0.21,0.09
240LEA,0.28,0.06
241316,0.54,
241LEA,0.54,
250340,0.24,0.14
250356,0.33,0.11
250372,0.23,0.08
250LEA,0.28,0.1
260318,0.44,0.25
260322,0.24,
260325,0.45,0.13
260357,0.19,0.17
260359,,0.07
260388,0.36,0.23
260408,0.32,0.15
260411,0.06,0.11
260424,0.1,
260427,0.22,
260446,0.32,0.3
260455,0.13,
260LEA,0.33,0.12
270306,0.42,0.12
270LEA,0.42,0.09
280304,0.56,0.19
280316,0.39,0.28
280330,0.56,0.29
280LEA,0.5,0.27
290308,0.26,0.13
290324,0.75,0.1
290336,0.63,0.19
290348,0.6,0.17
290349,0.94,
290365,0.39,0.07
