agency_code,pct_enrolled_ENROLL_ALL_COLLEGE,pct_enrolled_ENROLL_AM7_COLLEGE,pct_enrolled_ENROLL_AS7_COLLEGE,pct_enrolled_ENROLL_BL7_COLLEGE,pct_enrolled_ENROLL_EDS_COLLEGE,pct_enrolled_ENROLL_FEM_COLLEGE,pct_enrolled_ENROLL_HI7_COLLEGE,pct_enrolled_ENROLL_MALE_COLLEGE,pct_enrolled_ENROLL_MU7_COLLEGE,pct_enrolled_ENROLL_PI7_COLLEGE,pct_enrolled_ENROLL_SWD_COLLEGE,pct_enrolled_ENROLL_WH7_COLLEGE
140309,0.8214285709999999,,,,0.321428571,0.488095238,0.107142857,0.333333333,,,,0.654761905
140348,0.597087379,,,0.111650485,0.237864078,0.286407767,,0.310679612,,,,0.3980582520000001
140386,0.528610354,,,,0.130790191,0.286103542,,0.242506812,,,,0.490463215
140390,0.492753623,,,0.057971015,0.256038647,0.25120773,0.053140097,0.241545894,,,,0.362318841
140LEA,0.566486487,,,,0.203243243,0.300540541,,0.265945946,,,,0.456216216
150304,0.637168142,,,0.10619469,0.132743363,0.318584071,,0.318584071,,,,0.5044247789999999
150350,0.7142857140000001,,,0.095238095,0.095238095,0.6190476189999999,,0.095238095,,,,0.571428571
150LEA,0.6492537310000001,,,0.104477612,0.12686567199999998,0.365671642,,0.28358209,,,,0.514925373
160313,0.609022556,,,0.082706767,0.180451128,0.338345865,,0.270676692,,,0.082706767,0.481203008
160314,0.7428571429999999,,,,0.104761905,0.4,0.061904762,0.342857143,,,,0.642857143
160344,0.658436214,,,0.06584362099999999,0.156378601,0.378600823,,0.279835391,,,,0.497942387
160LEA,0.677474403,,,0.051194539,0.14334471,0.377133106,,0.300341297,,,,0.546075085
170316,0.5443786979999999,,,0.284023669,0.284023669,0.278106509,,0.266272189,,,,0.236686391
170LEA,0.5443786979999999,,,0.284023669,0.284023669,0.278106509,,0.266272189,,,,0.236686391
180308,0.60199005,,,,0.129353234,0.29850746300000003,,0.303482587,,,,0.517412935
180320,0.468503937,,0.059055118,,0.212598425,0.267716535,0.051181102,0.200787402,,,,0.31496063
180325,0.583333333,,0.166666667,0.05952381,0.190476191,0.369047619,0.071428571,0.214285714,,,,0.28571428600000004
180340,0.6007905139999999,,0.059288538,,0.14229249,0.304347826,,0.296442688,,,,0.486166008
180348,0.650655022,,,,0.187772926,0.362445415,,0.288209607,,,,0.484716157
180376,0.58245614,,,,0.15087719300000002,0.30877193,0.063157895,0.273684211,,,,0.442105263
180LEA,0.577981651,,0.050458716,,0.166666667,0.31116208,,0.266819572,,,,0.434250765
181318,0.324324324,,,,,0.216216216,0.081081081,0.108108108,,,,0.189189189
181322,0.64159292,,,0.092920354,0.172566372,0.3672566370000001,0.101769912,0.274336283,,,,0.402654867
181LEA,0.596958175,,,0.08365019,0.14828897300000002,0.346007605,0.098859316,0.25095057,,,,0.372623574
182316,0.51010101,,,0.050505051,0.191919192,0.262626263,0.060606061,0.247474748,,,,0.313131313
182700,0.764705882,,,,0.13725490199999998,0.450980392,0.078431373,0.31372549,0.05882352900000001,,,0.607843137
182LEA,0.56,,,,0.18,0.3,0.064,0.26,,,,0.3720000000000001
190310,0.194444444,,,0.111111111,0.13888888900000002,0.111111111,0.055555556,0.083333333,,,,
190316,0.77,,,,0.21,0.47,,0.3,,,0.05,0.69
190336,0.548611111,,,0.076388889,0.326388889,0.305555556,0.236111111,0.243055556,,,,0.208333333
190342,0.737864078,,,0.097087379,0.116504854,0.427184466,,0.310679612,,,0.055016181,0.553398058
190LEA,0.663837012,,,0.083191851,0.185059423,0.385398981,0.088285229,0.27843803100000003,,,,0.458404075
19A000,0.837209302,,,,,0.511627907,,0.325581395,,,,0.744186047
19B000,0.8636363640000001,,,,0.06818181799999999,0.454545455,,0.409090909,0.090909091,,,0.704545455
200308,0.6603773589999999,,,,0.301886793,0.396226415,,0.264150943,,,0.075471698,0.622641509
200314,0.6,,,,0.225,0.3,,0.3,,,0.05,0.6
200322,0.145833333,,,,0.083333333,0.104166667,,,,,,0.083333333
200328,0.653061225,,,,0.255102041,0.295918367,,0.35714285700000004,,,0.06122449,0.6122448979999999
200350,0.774193548,,,,0.161290323,0.451612903,,0.322580645,0.064516129,,,0.677419355
200LEA,0.57037037,,,,0.218518519,0.3,,0.27037037,,,0.051851852,0.525925926
210312,0.636363636,,,0.242424242,0.272727273,0.356060606,,0.28030303,,,,0.333333333
210LEA,0.636363636,,,0.242424242,0.272727273,0.356060606,,0.28030303,,,,0.333333333
220310,0.6338028170000001,,,,0.197183099,0.366197183,,0.267605634,,,0.056338028,0.6056338029999999
220LEA,0.6338028170000001,,,,0.197183099,0.366197183,,0.267605634,,,0.056338028,0.6056338029999999
230312,0.558823529,,,0.130252101,0.260504202,0.289915966,,0.268907563,,,,0.386554622
230322,0.660714286,,,0.125,0.339285714,0.321428571,,0.339285714,,,,0.428571429
230324,0.541935484,,,0.119354839,0.129032258,0.287096774,,0.25483871,,,,0.3935483870000001
230330,0.162162162,,,0.081081081,,0.054054054,,0.108108108,,,,0.081081081
230350,0.666666667,,,0.12794612800000002,0.215488216,0.34006734,,0.326599327,,,,0.484848485
230359,0.125,,,,,,,0.125,,,0.125,0.125
230361,0.654761905,,,0.25,0.321428571,0.297619048,,0.35714285700000004,,,,0.35119047600000003
230LEA,0.586175943,,,0.141831239,0.215439856,0.295332137,,0.29084380600000004,,,,0.3994614
240334,0.529411765,0.18487395,,0.159663866,,0.35294117700000005,,0.176470588,,,,0.168067227
240371,0.5635359120000001,,,0.071823204,,0.325966851,,0.23756906100000005,,,,0.425414365
240373,0.523809524,,,0.095238095,,0.452380952,0.095238095,0.071428571,,,,0.333333333
240380,0.48245614,,,0.175438597,,0.245614035,,0.236842105,,,,0.280701754
240LEA,0.530701754,0.052631579000000005,,0.122807018,,0.324561404,,0.20614035100000005,,,,0.31359649100000003
241312,0.222222222,,,0.222222222,,0.222222222,,,,,,
241316,0.670886076,,,0.22784810100000005,,0.379746835,,0.291139241,,,,0.373417722
241LEA,0.646706587,,,0.22754491,,0.371257485,,0.275449102,,,,0.35329341299999995
24B000,0.454545455,,,,0.363636364,0.363636364,0.090909091,0.090909091,0.090909091,,,0.272727273
250314,0.666666667,,,0.128205128,0.102564103,0.435897436,,0.230769231,,,,0.487179487
250321,0.55,,,0.1,0.15,0.325,0.05,0.225,,,,0.4
250340,0.594488189,,,0.153543307,0.216535433,0.267716535,,0.326771654,,,,0.346456693
250356,0.6,,,0.147368421,0.168421053,0.363157895,,0.236842105,,,,0.37631579
250372,0.5067264570000001,,,0.121076233,0.210762332,0.29147982100000003,,0.215246637,,,,0.340807175
250LEA,0.576923077,,,0.139957265,0.188034188,0.321581197,,0.25534188,,,,0.365384615
260318,0.703196347,,,0.210045662,0.134703196,0.417808219,0.111872146,0.285388128,,,,0.283105023
260322,0.395256917,,,0.23715415,0.316205534,0.23715415,0.051383399,0.158102767,,,,0.067193676
260325,0.594086022,,,0.129032258,0.228494624,0.333333333,,0.260752688,,,,0.36827957
