agency_code,esea_att
200LEA,Met
20A000,Met
210304,Met
210306,Met
210312,Did Not Meet
210316,Did Not Meet
210LEA,Met
220308,Met
220310,Did Not Meet
220312,Met
220LEA,Met
230304,Met
230308,Met
230312,Did Not Meet
230316,Met
230320,Met
230322,Did Not Meet
230324,Did Not Meet
230328,Met
230330,Did Not Meet
230334,Met
230336,Met
230340,Met
230342,Met
230344,Met
230346,Met
230348,Met
230350,Did Not Meet
230351,Met
230352,Met
230355,Met
230357,Met
230359,Met
230361,Did Not Meet
230362,Met
230364,Met
230368,Met
230370,Met
230376,Met
230380,Met
230LEA,Met
23A000,Met
240304,Met
240308,Met
240328,Met
240330,Met
240332,Met
240334,Did Not Meet
240344,Met
240352,Met
240354,Met
240356,Met
240368,Met
240370,Met
240371,Did Not Meet
240372,Met
240373,Did Not Meet
240376,Met
240380,Did Not Meet
240388,Met
240LEA,Met
241304,Met
241308,Met
241312,Did Not Meet
241316,Did Not Meet
241320,Did Not Meet
241LEA,Met
24B000,Did Not Meet
24N000,Met
250304,Met
250306,Met
250308,Met
250312,Met
250314,Did Not Meet
250316,Met
250320,Met
250321,Did Not Meet
250324,Met
250328,Met
250332,Met
250336,Met
250340,Did Not Meet
250344,Met
250348,Met
250350,Met
250356,Did Not Meet
250360,Met
250362,Met
250364,Met
250368,Met
250372,Did Not Meet
250376,Met
250378,Met
250380,Met
250LEA,Met
260302,Did Not Meet
260306,Met
260308,Met
260310,Met
260312,Met
260316,Met
260318,Did Not Meet
260320,Met
260321,Met
260322,Did Not Meet
260325,Did Not Meet
260326,Met
260332,Met
260336,Met
260338,Met
260340,Met
260342,Met
260344,Met
260347,Did Not Meet
260348,Met
260352,Met
260354,Did Not Meet
260356,Met
260357,Did Not Meet
260358,Met
260359,Did Not Meet
260361,Met
260362,Met
260363,Did Not Meet
260364,Met
260365,Met
260366,Met
260367,Met
260368,Met
260369,Met
260370,Met
260371,Met
260372,Met
260373,Met
260374,Did Not Meet
260375,Met
260380,Met
260382,Met
260383,Met
260386,Met
260388,Did Not Meet
260396,Met
260397,Met
260398,Met
260400,Met
260401,Met
260402,Met
260403,Met
260404,Met
260405,Met
260406,Met
260407,Met
260408,Did Not Meet
260410,Met
260411,Did Not Meet
260412,Did Not Meet
260413,Did Not Meet
260414,Met
260415,Met
260416,Met
260417,Met
260418,Met
260419,Met
260424,Did Not Meet
260425,Met
260426,Met
260427,Did Not Meet
260428,Met
260430,Met
260432,Did Not Meet
260434,Met
260440,Met
260444,Met
260446,Did Not Meet
260448,Met
260449,Did Not Meet
260450,Met
260452,Met
260454,Met
260455,Did Not Meet
260459,Met
260700,Did Not Meet
260LEA,Met
26B000,Met
26C000,Met
270304,Met
270306,Did Not Meet
270308,Met
270309,Met
270310,Met
270311,Did Not Meet
270312,Met
270316,Met
270318,Met
270320,Met
270LEA,Met
27A000,Did Not Meet
280302,Met
280304,Did Not Meet
280306,Did Not Meet
280308,Met
280310,Met
280312,Met
280316,Did Not Meet
280320,Met
280324,Met
280328,Met
280330,Did Not Meet
280LEA,Met
290302,Met
290306,Met
290307,Met
290308,Did Not Meet
290309,Met
290310,Met
290312,Met
290314,Did Not Meet
290315,Did Not Meet
290316,Met
290320,Met
290322,Met
290324,Did Not Meet
290328,Met
290330,Met
290332,Met
290333,Met
290334,Met
290336,Did Not Meet
290344,Met
290348,Did Not Meet
290350,Met
290351,Met
290352,Met
290356,Met
290364,Met
290365,Did Not Meet
290366,Met
290367,Met
290375,Met
290376,Met
290380,Met
290384,Met
290388,Did Not Meet
290389,Met
290LEA,Met
291308,Met
291332,Met
291336,Did Not Meet
291340,Met
291348,Did Not Meet
291350,Did Not Meet
291352,Met
291LEA,Met
292316,Met
292318,Met
292320,Met
292324,Did Not Meet
292LEA,Met
300306,Did Not Meet
300308,Met
300310,Met
300312,Did Not Meet
300314,Did Not Meet
300320,Met
300325,Met
300326,Met
300328,Met
300330,Met
300336,Met
300337,Met
300LEA,Met
310304,Met
310308,Met
310324,Met
310330,Met
310336,Met
310338,Did Not Meet
310340,Met
310344,Did Not Meet
310352,Did Not Meet
310356,Met
310360,Met
310364,Did Not Meet
310384,Met
310388,Met
310392,Did Not Meet
310396,Met
310LEA,Met
320304,Met
320306,Met
320308,Met
320309,Did Not Meet
320310,Met
320312,Did Not Meet
320313,Met
320314,Met
320315,Met
320316,Met
320317,Did Not Meet
320318,Met
320319,Met
320320,Met
320322,Did Not Meet
320323,Did Not Meet
320324,Met
320325,Did Not Meet
320327,Met
320328,Met
320329,Did Not Meet
320332,Met
320336,Did Not Meet
320338,Met
320339,Met
320340,Met
320341,Did Not Meet
320342,Met
320343,Met
320344,Met
320346,Met
320347,Met
320348,Met
320352,Met
320353,Did Not Meet
320354,Met
320355,Met
320356,Did Not Meet
320360,Met
320362,Met
320363,Met
320364,Met
320365,Did Not Meet
320366,Met
320367,Met
320368,Did Not Meet
320369,Met
320370,Met
320372,Met
320374,Met
320376,Met
320388,Met
320400,Met
320701,Did Not Meet
320LEA,Met
32A000,Met
32B000,Met
32C000,Met
32D000,Did Not Meet
32H000,Met
32K000,Met
32L000,Did Not Meet
32M000,Met
32N000,Met
32P000,Met
32Q000,Did Not Meet
330304,Met
330308,Met
330312,Met
330326,Did Not Meet
330328,Did Not Meet
330332,Met
330334,Met
330340,Met
330344,Met
330348,Met
330350,Did Not Meet
330354,Met
330358,Did Not Meet
330360,Met
330LEA,Met
33A000,Met
340308,Met
340311,Did Not Meet
340314,Met
340320,Met
340326,Met
340330,Did Not Meet
340332,Did Not Meet
340334,Met
340336,Did Not Meet
340344,Did Not Meet
340348,Met
340350,Met
340351,Met
340354,Met
340362,Did Not Meet
340364,Did Not Meet
340366,Met
340368,Met
340372,Met
340376,Met
340380,Met
340382,Did Not Meet
340384,Met
340385,Did Not Meet
340390,Met
340392,Met
340398,Did Not Meet
340400,Met
340403,Met
340406,Met
340416,Met
340420,Met
340424,Met
340426,Met
340427,Did Not Meet
340428,Met
340430,Met
340432,Met
340436,Met
340440,Met
340442,Met
340446,Did Not Meet
340447,Met
340448,Met
340452,Met
340453,Met
340454,Did Not Meet
340457,Met
340460,Did Not Meet
340462,Met
340464,Met
340472,Met
340476,Met
340480,Met
340486,Did Not Meet
340488,Did Not Meet
340490,Met
340492,Met
340494,Met
340495,Did Not Meet
340496,Did Not Meet
340504,Met
340508,Met
340512,Met
340514,Met
340516,Met
340520,Met
340528,Met
340530,Met
340531,Did Not Meet
340532,Met
340536,Met
340540,Met
340542,Did Not Meet
340544,Met
340548,Met
340556,Did Not Meet
340560,Met
340564,Met
340568,Did Not Meet
340LEA,Met
34B000,Did Not Meet
34D000,Did Not Meet
34F000,Met
34G000,Met
34H000,Met
350304,Met
350308,Did Not Meet
350310,Met
350312,Met
350316,Met
350317,Did Not Meet
350318,Met
350321,Did Not Meet
350324,Met
350330,Met
350331,Met
350332,Met
350336,Did Not Meet
350338,Met
350339,Met
350340,Met
350LEA,Met
35A000,Met
360310,Did Not Meet
360320,Met
360324,Met
360332,Met
360336,Did Not Meet
360337,Did Not Meet
360338,Did Not Meet
360339,Met
360340,Met
360344,Met
360348,Met
360352,Met
360360,Did Not Meet
360364,Met
360372,Did Not Meet
360376,Met
360378,Met
360380,Met
360390,Did Not Meet
360392,Met
360394,Met
360396,Did Not Meet
360400,Met
360408,Met
360416,Met
360418,Did Not Meet
