agency_code,esea_att
700306,Met
700308,Met
700310,Did Not Meet
700314,Met
700316,Met
700317,Did Not Meet
700318,Met
700319,Did Not Meet
700320,Met
700322,Met
700324,Met
700328,Met
700LEA,Met
710312,Met
710316,Met
710318,Met
710320,Met
710321,Did Not Meet
710323,Met
710324,Met
710326,Did Not Meet
710327,Did Not Meet
710328,Met
710332,Met
710342,Did Not Meet
710344,Met
710346,Met
710347,Met
710348,Met
710LEA,Met
720304,Did Not Meet
720312,Met
720316,Did Not Meet
720320,Met
720LEA,Met
730332,Met
730334,Met
730340,Met
730344,Met
730348,Met
730352,Did Not Meet
730354,Met
730356,Met
730360,Met
730368,Met
730LEA,Met
73A000,Met
73B000,Did Not Meet
740302,Met
740304,Met
740308,Met
740309,Did Not Meet
740310,Met
740320,Met
740324,Met
740330,Met
740332,Met
740333,Did Not Meet
740334,Met
740336,Met
740337,Met
740338,Met
740340,Met
740344,Did Not Meet
740352,Met
740358,Met
740360,Did Not Meet
740362,Met
740366,Did Not Meet
740368,Met
740374,Did Not Meet
740375,Met
740376,Met
740378,Did Not Meet
740379,Met
740380,Met
740386,Met
740388,Did Not Meet
740390,Met
740396,Met
740400,Met
740402,Met
740404,Met
740406,Did Not Meet
740LEA,Met
750304,Met
750314,Met
750317,Did Not Meet
750318,Did Not Meet
750319,Met
750320,Met
750328,Met
750LEA,Met
760304,Met
760308,Met
760316,Met
760318,Did Not Meet
760320,Met
760324,Met
760328,Met
760329,Met
760330,Met
760331,Met
760332,Met
760336,Met
760338,Met
760339,Did Not Meet
760340,Met
760344,Met
760348,Did Not Meet
760352,Met
760354,Did Not Meet
760356,Met
760357,Met
760358,Did Not Meet
760359,Met
760360,Met
760364,Met
760368,Met
760376,Met
760378,Met
760380,Did Not Meet
760382,Met
760388,Did Not Meet
760LEA,Met
761304,Did Not Meet
761308,Met
761312,Met
761320,Met
761321,Met
761328,Met
761332,Met
761336,Met
761LEA,Met
76N000,Met
770310,Met
770312,Did Not Meet
770316,Met
770318,Met
770328,Met
770340,Met
770342,Did Not Meet
770344,Met
770346,Met
770348,Did Not Meet
770349,Did Not Meet
770351,Did Not Meet
770360,Met
770364,Met
770368,Met
770370,Met
770LEA,Met
780320,Met
780322,Met
780324,Met
780325,Did Not Meet
780326,Met
780328,Met
780329,Met
780330,Met
780331,Did Not Meet
780336,Met
780340,Met
780341,Met
780342,Did Not Meet
780344,Met
780352,Met
780356,Met
780360,Met
780364,Met
780368,Met
780374,Met
780376,Met
780384,Met
780385,Did Not Meet
780390,Met
780391,Did Not Meet
780392,Met
780393,Met
780394,Met
780396,Met
780398,Met
780400,Met
780401,Did Not Meet
780402,Did Not Meet
780403,Met
780407,Met
780408,Met
780410,Met
780412,Met
780416,Met
780417,Met
780418,Met
780420,Did Not Meet
780LEA,Met
78A000,Met
78B000,Met
790302,Met
790310,Met
790314,Did Not Meet
790318,Met
790322,Met
790327,Met
790330,Met
790334,Met
790344,Met
790347,Met
790350,Met
790354,Did Not Meet
790358,Met
790362,Met
790366,Did Not Meet
790374,Met
790378,Did Not Meet
790379,Did Not Meet
790380,Met
790386,Met
790390,Met
790392,Did Not Meet
790394,Met
790398,Met
790402,Met
790LEA,Met
79A000,Met
800308,Did Not Meet
800312,Met
800314,Met
800315,Met
800316,Met
800320,Met
800324,Met
800328,Met
800340,Did Not Meet
800346,Met
800347,Met
800348,Met
800352,Met
800356,Met
800358,Met
800359,Met
800360,Met
800361,Did Not Meet
800362,Met
800363,Met
800364,Met
800366,Met
800368,Met
800372,Met
800373,Met
800376,Did Not Meet
800377,Met
800392,Met
800394,Did Not Meet
800396,Did Not Meet
800398,Met
800400,Did Not Meet
800408,Did Not Meet
800410,Met
800412,Met
800LEA,Met
810324,Did Not Meet
810326,Met
810328,Met
810336,Met
810340,Did Not Meet
810342,Met
810344,Met
810350,Met
810360,Met
810364,Met
810370,Met
810378,Met
810384,Did Not Meet
810385,Did Not Meet
810386,Did Not Meet
810388,Met
810396,Met
810400,Met
810LEA,Met
81A000,Did Not Meet
81B000,Met
820312,Met
820320,Met
820324,Did Not Meet
820340,Met
820346,Met
820347,Met
820348,Did Not Meet
820349,Did Not Meet
820350,Met
820352,Did Not Meet
820354,Met
820364,Met
820370,Met
820372,Met
820376,Met
820384,Met
820385,Met
820388,Did Not Meet
820LEA,Met
821304,Met
821308,Did Not Meet
821316,Did Not Meet
821320,Met
821330,Met
821LEA,Met
830304,Met
830312,Met
830316,Did Not Meet
830320,Met
830328,Met
830336,Met
830343,Did Not Meet
830344,Met
830348,Did Not Meet
830349,Met
830350,Met
830356,Met
830360,Met
830364,Met
830LEA,Met
840302,Did Not Meet
840303,Met
840304,Met
840308,Met
840310,Met
840312,Met
840316,Met
840320,Met
840324,Met
840328,Met
840332,Did Not Meet
840336,Met
840340,Met
840344,Met
840350,Met
840356,Did Not Meet
840358,Met
840360,Met
840361,Did Not Meet
840368,Did Not Meet
840370,Did Not Meet
840LEA,Met
84B000,Did Not Meet
850304,Met
850308,Met
850312,Met
850314,Met
850316,Met
850320,Met
850324,Did Not Meet
850328,Met
850332,Did Not Meet
850336,Met
850338,Met
850340,Met
850342,Met
850348,Met
850350,Met
850352,Did Not Meet
850354,Met
850356,Met
850358,Did Not Meet
850360,Did Not Meet
850LEA,Met
860302,Met
860306,Met
860308,Met
860312,Met
860316,Did Not Meet
860320,Met
860324,Met
860326,Met
860330,Met
860332,Met
860336,Did Not Meet
860339,Met
860340,Met
860344,Met
860348,Met
860352,Did Not Meet
860354,Did Not Meet
860356,Met
860360,Met
860LEA,Met
861304,Met
861308,Did Not Meet
861312,Met
861LEA,Met
862308,Did Not Meet
862310,Met
862312,Did Not Meet
862316,Met
862LEA,Met
86T000,Met
870314,Did Not Meet
870318,Met
870320,Met
870324,Met
870LEA,Met
87A000,Met
880304,Met
880308,Did Not Meet
880312,Met
880318,Met
880320,Did Not Meet
880324,Met
880328,Did Not Meet
880330,Met
880336,Met
880LEA,Met
88A000,Met
890304,Did Not Meet
890306,Met
890308,Met
890LEA,Met
900302,Met
900303,Met
900304,Met
900305,Met
900306,Met
900307,Met
900308,Met
900310,Met
900311,Did Not Meet
900312,Met
900314,Met
900316,Did Not Meet
900318,Met
900320,Met
900328,Met
900332,Met
900334,Met
900336,Did Not Meet
900340,Met
900341,Met
900342,Did Not Meet
900343,Met
900344,Did Not Meet
900346,Met
900347,Met
900348,Did Not Meet
900350,Met
900351,Met
900352,Met
900353,Met
900354,Met
900356,Met
900358,Met
900360,Did Not Meet
900362,Met
900363,Met
900364,Met
900365,Did Not Meet
900366,Did Not Meet
900367,Did Not Meet
900368,Met
900370,Met
900372,Met
900376,Met
900377,Did Not Meet
900378,Met
900380,Met
900384,Met
900388,Met
900391,Met
900392,Met
900393,Did Not Meet
900LEA,Met
90A000,Did Not Meet
910304,Met
910308,Met
910311,Met
910314,Met
910316,Met
910320,Met
910340,Met
910346,Met
910356,Met
910360,Met
910364,Did Not Meet
910368,Did Not Meet
910370,Did Not Meet
910376,Met
910380,Met
910382,Did Not Meet
910384,Met
910LEA,Met
91A000,Met
91B000,Met
920302,Met
920304,Met
920306,Met
920307,Met
920308,Met
920312,Met
920316,Did Not Meet
920318,Did Not Meet
920320,Met
920324,Did Not Meet
920325,Met
920326,Met
920327,Met
920328,Met
920329,Met
920334,Met
920336,Met
920340,Met
920342,Met
920344,Met
920348,Did Not Meet
920352,Met
920356,Met
920358,Met
920360,Met
920362,Met
920364,Met
920368,Did Not Meet
920369,Met
920370,Met
920376,Met
920380,Met
920384,Met
920388,Met
920390,Met
920391,Met
920393,Met
920394,Met
920396,Met
920398,Met
920399,Met
920400,Met
920402,Met
920403,Met
920404,Met
920408,Met
920410,Met
920412,Did Not Meet
920413,Met
920414,Met
920415,Met
920416,Met
920417,Met
920420,Met
920424,Met
920428,Did Not Meet
920436,Did Not Meet
920438,Met
920439,Met
920440,Met
920441,Did Not Meet
920442,Met
920443,Met
920444,Met
920445,Did Not Meet
920446,Met
920447,Met
920448,Met
920449,Met
920450,Met
920451,Met
920452,Met
920453,Met
920454,Met
920455,Did Not Meet
920456,Met
920457,Met
920458,Met
920460,Met
920464,Met
920466,Did Not Meet
920467,Met
920468,Met
920469,Met
920470,Met
920471,Met
920472,Met
920473,Did Not Meet
920474,Met
920476,Met
920480,Met
920484,Met
920488,Met
920492,Met
920494,Met
920495,Did Not Meet
920496,Met
920500,Did Not Meet
920501,Met
920502,Met
920504,Met
920506,Met
920508,Met
920512,Met
920514,Met
920516,Met
920520,Met
920522,Met
920523,Met
920524,Met
920525,Met
920526,Did Not Meet
920528,Did Not Meet
920530,Met
920531,Met
920532,Met
920536,Met
920540,Met
920542,Met
920543,Met
920544,Met
920545,Met
920546,Met
920548,Met
920550,Met
920551,Met
920552,Did Not Meet
920554,Met
920560,Met
920562,Did Not Meet
920564,Met
920568,Met
920569,Met
920570,Met
920571,Met
920572,Met
920576,Met
920580,Met
920581,Did Not Meet
920582,Met
920583,Did Not Meet
920584,Met
920585,Met
920586,Met
920588,Did Not Meet
920592,Met
920593,Met
920594,Met
920595,Did Not Meet
920596,Met
920597,Met
920598,Met
920599,Met
920600,Met
920601,Met
920604,Met
920606,Met
920607,Met
920608,Met
920616,Met
920618,Met
920620,Met
920624,Met
920626,Met
920628,Met
920632,Met
920636,Met
920700,Did Not Meet
920701,Did Not Meet
920702,Did Not Meet
920703,Did Not Meet
920LEA,Met
92B000,Met
92D000,Met
92E000,Met
92F000,Did Not Meet
92G000,Did Not Meet
92K000,Did Not Meet
92L000,Met
92M000,Met
92N000,Met
92P000,Did Not Meet
92Q000,Met
92R000,Met
92S000,Met
92T000,Met
92U000,Met
92V000,Met
92W000,Met
92X000,Met
92Y000,Met
930330,Met
930340,Met
930344,Met
930348,Met
930352,Did Not Meet
930354,Met
930360,Did Not Meet
930700,Did Not Meet
930LEA,Met
93A000,Did Not Meet
940306,Met
940308,Did Not Meet
940314,Met
940316,Did Not Meet
940328,Met
940LEA,Met
94Z000,Met
950308,Met
950312,Met
950316,Met
950320,Met
950322,Met
950324,Met
950328,Met
950332,Met
950336,Did Not Meet
950LEA,Met
95A000,Met
960312,Met
960314,Met
960316,Met
960318,Met
960324,Did Not Meet
960326,Met
960329,Met
960330,Did Not Meet
960331,Met
960332,Met
960334,Met
960335,Did Not Meet
960336,Met
960340,Met
960344,Met
960348,Met
960360,Met
960370,Met
960372,Did Not Meet
960374,Met
960376,Met
960380,Did Not Meet
960382,Met
960386,Did Not Meet
960388,Met
960390,Met
960450,Met
960454,Met
960488,Did Not Meet
960490,Did Not Meet
960700,Did Not Meet
960LEA,Met
96C000,Met
96F000,Met
970308,Met
970310,Met
970312,Met
970315,Met
970320,Did Not Meet
970322,Met
970337,Met
970340,Met
970344,Met
970348,Met
970352,Met
970356,Did Not Meet
970358,Met
970360,Met
970368,Met
970370,Met
970376,Met
970388,Did Not Meet
970389,Met
970390,Did Not Meet
970392,Met
970393,Did Not Meet
970LEA,Met
97D000,Met
980306,Did Not Meet
980308,Met
980317,Met
980318,Did Not Meet
980320,Met
980324,Met
980336,Did Not Meet
980338,Met
980340,Met
980342,Did Not Meet
980344,Met
980348,Met
980352,Met
980356,Met
980357,Met
980360,Met
980364,Met
980380,Met
980384,Met
980388,Met
980390,Met
980392,Met
980396,Met
980398,Did Not Meet
980400,Met
980LEA,Met
98A000,Met
98B000,Met
990304,Met
990308,Met
990312,Met
990316,Met
990320,Met
990321,Met
990322,Did Not Meet
990324,Met
990325,Met
990326,Did Not Meet
990328,Met
990332,Did Not Meet
990336,Met
990340,Did Not Meet
990LEA,Met
995304,Met
995308,Did Not Meet
995312,Met
995316,Met
995320,Met
995324,Met
995328,Met
995330,Did Not Meet
995336,Met
995LEA,Met
