agency_code,stu_enroll,cte_enroll,cte_enrollment_pct
290314,129,70,54.26
290315,149,12,8.05
290322,682,413,60.56
290324,864,742,85.88
290334,708,384,54.24
290336,1115,836,74.98
290348,1269,1009,79.51
290349,494,405,81.98
290350,737,479,64.99
290351,694,304,43.8
290365,383,327,85.38
290367,283,208,73.5
290376,614,307,50.0
290388,753,667,88.58
290389,190,175,92.11
291332,742,453,61.05
291336,857,719,83.9
292320,520,372,71.54
292324,682,544,79.77
298202,48,37,77.08
298203,53,40,75.47
298204,59,54,91.53
300312,1715,1213,70.73
300314,170,9,5.29
300325,441,425,96.37
300330,566,488,86.22
300337,480,453,94.38
310304,286,217,75.87
310308,281,275,97.86
310330,175,175,100.0
310336,258,257,99.61
310338,199,71,35.68
310344,962,772,80.25
310352,644,497,77.17
310356,175,134,76.57
310360,108,108,100.0
310364,504,373,74.01
310384,364,320,87.91
310388,350,297,84.86
310392,651,554,85.1
320306,524,401,76.53
320312,1900,1188,62.53
320314,586,3,0.51
320316,855,722,84.44
320317,338,318,94.08
320322,181,80,44.2
320323,1704,132,7.75
320325,1367,886,64.81
320338,452,351,77.65
320340,118,113,95.76
320341,180,64,35.56
320342,293,147,50.17
320343,475,355,74.74
320346,587,461,78.53
320353,194,67,34.54
320355,779,725,93.07
320356,1505,799,53.09
320365,1807,1069,59.16
320366,919,617,67.14
320368,1401,860,61.38
320370,618,484,78.32
320701,326,269,82.52
32L000,730,263,36.03
330326,172,31,18.02
330328,240,169,70.42
330332,127,58,45.67
330340,364,240,65.93
330344,269,123,45.72
330348,333,298,89.49
330350,863,681,78.91
330358,594,496,83.5
330360,190,79,41.58
33A000,491,221,45.01
340311,943,914,96.92
340330,584,321,54.97
340336,187,126,67.38
340350,1119,873,78.02
340354,127,127,100.0
340362,258,23,8.91
340364,1779,1015,57.05
340366,733,524,71.49
340372,835,509,60.96
340382,1453,727,50.03
340385,141,32,22.7
340392,712,528,74.16
340406,1258,978,77.74
340420,664,506,76.2
340427,65,18,27.69
340436,132,121,91.67
340442,1170,1000,85.47
340446,105,17,16.19
340452,354,297,83.9
340454,1547,857,55.4
340460,1021,685,67.09
340464,935,651,69.63
340480,753,513,68.13
340486,1450,751,51.79
340488,328,319,97.26
340492,479,275,57.41
340495,1990,970,48.74
340496,1696,734,43.28
340516,1136,980,86.27
340542,714,508,71.15
340544,688,496,72.09
340556,2342,1151,49.15
340564,617,502,81.36
340568,346,127,36.71
34B000,248,1,0.4
34D000,186,83,44.62
34H000,392,23,5.87
350308,884,699,79.07
350310,615,477,77.56
350312,605,489,80.83
350317,181,84,46.41
350321,1041,812,78.0
350324,239,146,61.09
350336,552,424,76.81
350338,438,362,82.65
360310,1295,867,66.95
360324,702,695,99.0
360336,655,500,76.34
360337,252,14,5.56
360360,519,411,79.19
360372,202,96,47.52
360378,1036,686,66.22
360380,846,796,94.09
360390,856,526,61.45
