agency_code,avg_class_teach_TeacherExp,pct_adv_degree_PrincipalExp,pct_adv_degree_TeacherExp,pct_experience_0_PrincipalExp,pct_experience_0_TeacherExp,pct_experience_10_PrincipalExp,pct_experience_10_TeacherExp,pct_experience_4_PrincipalExp,pct_experience_4_TeacherExp,pct_turnover_PrincipalExp,pct_turnover_TeacherExp,total_class_teach_TeacherExp
130331,50.0,,0.24,,0.16,,0.5,,0.34,,0.063,101345.0
130332,87.0,,0.149,,0.218,,0.448,,0.333,,0.091,101345.0
130333,8.0,,0.111,,0.0,,0.75,,0.25,,0.0,101345.0
130336,45.0,,0.133,,0.17800000000000002,,0.6,,0.222,,0.076,101345.0
130337,41.0,,0.268,,0.098,,0.659,,0.244,,0.079,101345.0
130338,66.0,,0.242,,0.091,,0.515,,0.394,,0.063,101345.0
130340,53.0,,0.17,,0.113,,0.623,,0.264,,0.065,101345.0
130342,52.0,,0.189,,0.415,,0.34,,0.245,,0.133,101345.0
130344,42.0,,0.28600000000000003,,0.214,,0.28600000000000003,,0.5,,0.098,101345.0
130345,58.0,,0.153,,0.153,,0.542,,0.305,,0.126,101345.0
130346,63.0,,0.28600000000000003,,0.159,,0.4920000000000001,,0.349,,0.096,101345.0
130349,8.0,,0.125,,0.375,,0.25,,0.375,,0.0,101345.0
130350,8.0,,0.0,,0.5,,0.375,,0.125,,0.111,101345.0
130355,60.0,,0.279,,0.183,,0.5,,0.317,,0.127,101345.0
130LEA,44.75,0.179,0.2455,0.462,0.18000000000000002,0.179,0.53575,0.359,0.28425,0.103,0.113,101345.0
132304,100.0,,0.17,,0.26,,0.54,,0.2,,0.233,101345.0
132308,37.0,,0.316,,0.132,,0.526,,0.342,,0.14800000000000002,101345.0
132312,25.0,,0.208,,0.4,,0.4,,0.2,,0.146,101345.0
132314,38.0,,0.158,,0.263,,0.5,,0.237,,,101345.0
132328,32.0,,0.156,,0.242,,0.424,,0.333,,0.3,101345.0
132330,78.0,,0.321,,0.179,,0.628,,0.192,,0.07400000000000001,101345.0
132332,26.0,,0.269,,0.269,,0.34600000000000003,,0.385,,0.192,101345.0
132336,29.0,,0.3,,0.133,,0.6,,0.267,,0.139,101345.0
132LEA,69.66666666666667,0.375,0.2416666666666667,0.5,0.22366666666666668,0.125,0.5473333333333333,0.375,0.229,0.14300000000000002,0.162,101345.0
13A000,57.0,,,,,,,,,,,101345.0
13B000,71.0,,,,,,,,,,,101345.0
13C000,28.0,,,,,,,,,,,101345.0
13D000,37.0,,,,,,,,,,,101345.0
140304,26.0,,0.308,,0.154,,0.654,,0.192,,0.0,101345.0
140305,15.0,,0.4,,0.2,,0.667,,0.133,,0.063,101345.0
140306,12.0,,0.0,,0.0,,0.583,,0.417,,0.0,101345.0
140307,15.0,,0.067,,0.067,,0.4,,0.5329999999999999,,0.069,101345.0
140308,23.0,,0.292,,0.125,,0.75,,0.125,,0.0,101345.0
140309,18.0,,0.278,,0.16699999999999998,,0.5,,0.333,,0.111,101345.0
140312,34.0,,0.265,,0.029,,0.588,,0.382,,0.0,101345.0
