agency_code,lea,lea_name,school,school_name,indian_pct,asian_pct,hispanic_pct,black_pct,white_pct,pacific_island_pct,two_or_more_pct,minority_pct,indian_male_pct,asian_male_pct,hispanic_male_pct,black_male_pct,white_male_pct,pacific_island_male_pct,two_or_more_male_pct,minority_male_pct,indian_female_pct,asian_female_pct,hispanic_female_pct,black_female_pct,white_female_pct,minority_female_pct,pacific_island_female_pct,two_or_more_female_pct
010303,10,Alamance-Burlington Schools,303,Alamance-Burlington Middle/Early College,0.015544041450777202,0.015544041450777202,0.25906735751295334,0.19689119170984457,0.46113989637305697,0.0,0.05181347150259067,0.538860103626943,0.0051813471502590676,0.010362694300518135,0.12953367875647667,0.04145077720207254,0.15025906735751296,0.0,0.015544041450777202,0.20207253886010362,0.010362694300518135,0.0051813471502590676,0.12953367875647667,0.15544041450777202,0.31088082901554404,0.33678756476683935,0.0,0.03626943005181347
010304,10,Alamance-Burlington Schools,304,Alexander Wilson Elementary,0.0,0.00859106529209622,0.25945017182130586,0.09965635738831616,0.5807560137457045,0.0,0.05154639175257732,0.41924398625429554,0.0,0.001718213058419244,0.13745704467353953,0.04982817869415808,0.32989690721649484,0.0,0.01718213058419244,0.20618556701030927,0.0,0.006872852233676976,0.12199312714776632,0.04982817869415808,0.2508591065292096,0.21305841924398625,0.0,0.03436426116838488
010308,10,Alamance-Burlington Schools,308,Altamahaw Ossipee Elem,0.0016129032258064516,0.0,0.15806451612903225,0.09838709677419355,0.7064516129032258,0.0016129032258064516,0.03387096774193549,0.29354838709677417,0.0016129032258064516,0.0,0.05806451612903226,0.05,0.3725806451612903,0.0,0.02258064516129032,0.13225806451612904,0.0,0.0,0.1,0.04838709677419355,0.3338709677419355,0.16129032258064516,0.0016129032258064516,0.01129032258064516
010310,10,Alamance-Burlington Schools,310,Broadview Middle,0.0013623978201634877,0.006811989100817439,0.5286103542234333,0.3474114441416894,0.07901907356948229,0.0027247956403269754,0.0340599455040872,0.9209809264305178,0.0,0.005449591280653951,0.2683923705722071,0.19754768392370572,0.043596730245231606,0.0013623978201634877,0.020435967302452316,0.49318801089918257,0.0013623978201634877,0.0013623978201634877,0.26021798365122617,0.14986376021798364,0.035422343324250684,0.42779291553133514,0.0013623978201634877,0.013623978201634877
010312,10,Alamance-Burlington Schools,312,Highland Elementary,0.002797202797202797,0.06573426573426573,0.13426573426573427,0.1916083916083916,0.5496503496503496,0.0,0.055944055944055944,0.45034965034965035,0.002797202797202797,0.03776223776223776,0.07132867132867132,0.0951048951048951,0.26153846153846155,0.0,0.03496503496503497,0.24195804195804196,0.0,0.027972027972027972,0.06293706293706294,0.0965034965034965,0.2881118881118881,0.2083916083916084,0.0,0.02097902097902098
010320,10,Alamance-Burlington Schools,320,E M Yoder Elementary,0.002785515320334262,0.011142061281337047,0.11142061281337047,0.20055710306406685,0.6323119777158774,0.0,0.04178272980501393,0.36768802228412256,0.002785515320334262,0.002785515320334262,0.06685236768802229,0.11420612813370473,0.3426183844011142,0.0,0.016713091922005572,0.20334261838440112,0.0,0.008356545961002786,0.04456824512534819,0.08635097493036212,0.28969359331476324,0.16434540389972144,0.0,0.025069637883008356
010324,10,Alamance-Burlington Schools,324,Eastern Alamance High,0.0015710919088766694,0.00864100549882168,0.1429693637077769,0.21602513747054203,0.5781618224666143,0.0007855459544383347,0.051846032992930086,0.4218381775333857,0.0007855459544383347,0.006284367635506678,0.0793401413982718,0.12411626080125687,0.32128829536527886,0.0,0.024351924587588374,0.23487824037706206,0.0007855459544383347,0.002356637863315004,0.0636292223095051,0.09190887666928516,0.25687352710133543,0.18695993715632364,0.0007855459544383347,0.02749410840534171
010326,10,Alamance-Burlington Schools,326,Eastlawn Elementary,0.0035714285714285713,0.0,0.5375,0.3410714285714286,0.08214285714285714,0.0017857142857142857,0.033928571428571426,0.9178571428571428,0.0017857142857142857,0.0,0.28214285714285714,0.19107142857142856,0.04285714285714286,0.0,0.017857142857142856,0.4928571428571429,0.0017857142857142857,0.0,0.25535714285714284,0.15,0.039285714285714285,0.425,0.0017857142857142857,0.01607142857142857
010328,10,Alamance-Burlington Schools,328,Edwin M Holt Elementary,0.005385996409335727,0.0017953321364452424,0.05745062836624776,0.03411131059245961,0.8707360861759426,0.0,0.03052064631956912,0.12926391382405744,0.0017953321364452424,0.0,0.03590664272890485,0.01615798922800718,0.4631956912028725,0.0,0.008976660682226212,0.06283662477558348,0.003590664272890485,0.0017953321364452424,0.02154398563734291,0.017953321364452424,0.40754039497307004,0.06642728904847396,0.0,0.02154398563734291
010340,10,Alamance-Burlington Schools,340,Elon Elementary,0.00425531914893617,0.014184397163120567,0.2028368794326241,0.16453900709219857,0.5659574468085107,0.0014184397163120568,0.04680851063829787,0.4340425531914894,0.0028368794326241137,0.00851063829787234,0.11347517730496454,0.08085106382978724,0.27092198581560284,0.0,0.02127659574468085,0.22695035460992907,0.0014184397163120568,0.005673758865248227,0.08936170212765958,0.08368794326241134,0.2950354609929078,0.20709219858156028,0.0014184397163120568,0.02553191489361702
010346,10,Alamance-Burlington Schools,346,B Everett Jordan Elem,0.0,0.013262599469496022,0.22281167108753316,0.07692307692307693,0.6339522546419099,0.0,0.05305039787798409,0.3660477453580902,0.0,0.007957559681697613,0.10344827586206896,0.03978779840848806,0.3129973474801061,0.0,0.03183023872679045,0.1830238726790451,0.0,0.005305039787798408,0.11936339522546419,0.03713527851458886,0.3209549071618037,0.1830238726790451,0.0,0.021220159151193633
