agency_code,avg_sat_score,pct_sat_participation
00B000,1121.0,0.343
010324,1076.0,0.473
010348,928.0,0.6459999999999999
010360,972.0,0.309
010388,1068.0,0.464
010396,1038.0,0.557
010400,1118.0,0.534
010LEA,1049.0,0.4920000000000001
01B000,1028.0,0.452
01C000,1096.0,0.629
01D000,1131.0,0.5429999999999999
020302,1114.0,0.289
020LEA,1114.0,0.289
030304,1147.0,0.235
030LEA,1147.0,0.235
040304,1001.0,0.6759999999999999
040306,935.0,0.584
040LEA,957.0,0.578
050302,1085.0,0.426
050LEA,1085.0,0.426
060302,1070.0,0.182
060LEA,1052.0,0.142
070311,1135.0,0.17600000000000002
070330,1038.0,0.33
070339,990.0,0.451
070342,1025.0,0.429
070LEA,1026.0,0.368
080311,997.0,0.54
080312,860.0,0.382
080LEA,910.0,0.428
090330,986.0,0.272
090368,929.0,0.335
090LEA,951.0,0.308
09A000,881.0,0.857
100307,1233.0,0.162
100326,1034.0,0.353
100334,1095.0,0.314
100348,1083.0,0.429
100LEA,1081.0,0.339
110304,1141.0,0.541
110322,1204.0,0.28
110336,1084.0,0.552
110340,1027.0,0.303
110352,1084.0,0.42
110380,1106.0,0.414
110416,1160.0,0.5
110500,1192.0,0.634
110LEA,1122.0,0.44
111302,1148.0,0.688
111700,1116.0,0.745
111LEA,1138.0,0.705
11D000,1125.0,0.462
120314,1082.0,0.147
120318,1124.0,0.18600000000000005
120346,1111.0,0.103
120370,1104.0,0.187
120LEA,1106.0,0.15
130307,1130.0,0.743
130310,1081.0,0.53
130314,1114.0,0.464
130316,1085.0,0.5479999999999999
130324,1095.0,0.481
130326,1091.0,0.516
130332,1127.0,0.601
130350,1117.0,0.731
130LEA,1107.0,0.563
132304,1035.0,0.343
132LEA,1035.0,0.343
13A000,995.0,0.522
140305,1079.0,0.218
140309,1146.0,0.363
140348,1024.0,0.287
140386,1083.0,0.381
140390,1015.0,0.279
140LEA,1071.0,0.329
150304,1068.0,0.426
150LEA,1065.0,0.391
160313,1132.0,0.294
160314,1196.0,0.469
160344,1169.0,0.308
160LEA,1175.0,0.358
170316,990.0,0.537
170LEA,990.0,0.537
180308,1101.0,0.409
180320,1049.0,0.374
180325,1177.0,0.119
180340,1102.0,0.453
180348,1094.0,0.377
180376,1104.0,0.457
180LEA,1095.0,0.397
181322,1094.0,0.5770000000000001
181LEA,1084.0,0.542
182316,1054.0,0.36
182700,1156.0,0.8
182LEA,1098.0,0.423
190316,1032.0,0.649
190336,996.0,0.469
190342,1108.0,0.636
190LEA,1068.0,0.586
19A000,1086.0,0.7170000000000001
19B000,1266.0,0.63
200328,1065.0,0.349
200LEA,1063.0,0.179
210312,964.0,0.482
210LEA,964.0,0.482
220310,1100.0,0.362
220LEA,1100.0,0.362
230312,1027.0,0.544
230322,1026.0,0.49
230324,1115.0,0.328
230350,1097.0,0.304
230361,1067.0,0.619
230LEA,1068.0,0.42
240334,970.0,0.48
240371,1001.0,0.562
240373,1061.0,0.315
240380,944.0,0.404
240LEA,991.0,0.455
241316,1007.0,0.329
241LEA,1007.0,0.32299999999999995
250340,1085.0,0.282
250356,1068.0,0.35600000000000004
250372,1056.0,0.287
250LEA,1072.0,0.281
260318,1116.0,0.4320000000000001
260322,944.0,0.466
260325,1070.0,0.311
260347,1074.0,0.741
260357,1060.0,0.315
260359,942.0,0.467
260388,1083.0,0.479
260408,1022.0,0.39
260411,966.0,0.625
260424,953.0,0.429
260427,1008.0,0.421
260446,1079.0,0.574
260455,914.0,0.314
260700,1039.0,0.607
260LEA,1024.0,0.414
270306,1084.0,0.369
270311,1110.0,0.424
270LEA,1093.0,0.386
280304,1115.0,0.789
280316,1098.0,0.7140000000000001
280330,1149.0,0.741
280LEA,1126.0,0.736
290308,1064.0,0.339
290324,1093.0,0.332
290336,1111.0,0.4
290348,1088.0,0.5329999999999999
290365,1042.0,0.43
290388,1081.0,0.34600000000000003
290389,1034.0,0.24
290LEA,1085.0,0.389
291336,945.0,0.6629999999999999
291LEA,945.0,0.636
292324,910.0,0.634
292LEA,910.0,0.634
300312,1120.0,0.419
300314,1174.0,0.784
300LEA,1128.0,0.45
