agency_code,amount_ Transformation_Improve_Amt,amount_ Turnaround_Improve_Amt,amount_ Whole School Reform_Improve_Amt
080312,494477.0,,
320310,794432.0,,
320352,897344.0,,
320355,813479.0,,
320374,618615.0,,
320388,847480.0,,
340308,278707.0,,
340330,,,492811.0
340424,,,166259.0
360526,,463504.0,
600439,,,489663.0
600461,,,484556.0
600489,504690.0,,
640334,653207.0,,
960312,319471.0,,
960316,318970.0,,
980308,323754.0,,
980317,322015.0,,
980357,250835.0,,
